MatrixSize CacheSizeBytes Associativity LineSizeBytes NormalTime NormalReadMisses NormalWriteMisses TransposedTime TransposedReadMisses TransposedWriteMisses
256 32768 1 64 0.032137 17286106 1107508 0.015939 4128312 60985
512 32768 1 64 0.385032 139722190 17117021 0.098521 48657627 372578
1024 32768 1 64 3.885895 1149366850 2564849 0.684221 170793678 2564850
256 32768 1 128 0.029829 17254820 1127634 0.014898 3172724 83154
512 32768 1 128 0.402711 138416642 17305012 0.096432 41560561 593332
1024 32768 1 128 3.763305 1122518310 4513816 0.658294 88959215 4513817
256 32768 2 64 0.041535 16943194 33576 0.015889 2118437 25384
512 32768 2 64 0.380479 134975393 230340 0.085040 16880619 99268
1024 32768 2 64 3.768748 1076248544 394631 0.688719 134967143 394632
256 32768 2 128 0.030572 16945398 29176 0.011089 1061648 12793
512 32768 2 128 0.381779 135070116 312088 0.097679 8461198 49945
1024 32768 2 128 3.929795 1076086488 198294 0.673321 67764891 198295
256 32768 4 64 0.040644 16935051 25355 0.015321 2116087 25355
512 32768 4 64 0.377482 134844199 99179 0.101528 16846066 99179
1024 32768 4 64 3.715059 1076239222 394285 0.674212 134484732 394286
256 32768 4 128 0.037353 16928835 12716 0.018958 1059008 12717
512 32768 4 128 0.408906 134807249 49628 0.079554 8424638 49629
1024 32768 4 128 3.750263 1076067591 197183 0.658211 67245253 197184
256 32768 8 64 0.026431 16934653 25353 0.009878 2116072 25354
512 32768 8 64 0.369595 134844185 99177 0.101115 16846051 99178
1024 32768 8 64 3.862806 1078600544 394283 0.668140 134484715 394284
256 32768 8 128 0.050321 16928683 12714 0.009699 1058982 12715
512 32768 8 128 0.382450 134807225 49626 0.099315 8424612 49627
1024 32768 8 128 3.862391 1078323422 197179 0.667602 67245224 197180
256 65536 1 64 0.041446 17110114 566961 0.009798 3122243 43186
512 65536 1 64 0.395091 137290411 8616310 0.082136 32754323 235895
1024 65536 1 64 3.819445 1112817164 1493922 0.667339 152686616 1493923
256 65536 1 128 0.025361 17092333 571213 0.015680 2116142 47950
512 65536 1 128 0.390209 136627755 8693723 0.082077 24994739 321500
1024 65536 1 128 3.816355 1099315373 2378041 0.680694 78158197 2378042
256 65536 2 64 0.026630 16935290 27390 0.015898 2116489 25341
512 65536 2 64 0.382272 134875255 131934 0.099125 16854532 99165
1024 65536 2 64 3.740479 1076241951 394332 0.667501 134618795 394333
256 65536 2 128 0.041762 16932042 16801 0.009765 1059508 12706
512 65536 2 128 0.385784 134871848 115153 0.097286 8433489 49618
1024 65536 2 128 3.679054 1076074702 197294 0.658345 67382933 197295
256 65536 4 64 0.040944 16932732 25339 0.009825 2115977 25338
512 65536 4 64 0.377876 134841913 99163 0.084182 16845956 99162
1024 65536 4 64 3.841960 1076239105 394269 0.671814 134484620 394270
256 65536 4 128 0.041439 16927655 12702 0.015487 1058882 12703
512 65536 4 128 0.379217 134805973 49614 0.098608 8424511 49615
1024 65536 4 128 3.762718 1076067451 197167 0.682996 67245123 197168
256 65536 8 64 0.040131 16932887 25342 0.015301 2115971 25341
512 65536 8 64 0.394055 134842036 99166 0.083588 16845950 99165
1024 65536 8 64 3.828694 1076239100 394272 0.681945 134484614 394273
256 65536 8 128 0.026562 16927668 12705 0.009994 1058862 12706
512 65536 8 128 0.388671 134806082 49617 0.100461 8424491 49618
1024 65536 8 128 3.871255 1076067432 197170 0.658122 67245103 197171
256 131072 1 64 0.042640 17020205 296293 0.009981 2619115 34277
512 131072 1 64 0.403967 136066839 4359794 0.100019 24800204 167538
1024 131072 1 64 3.742812 1094540597 958451 0.692535 143609150 958452
256 131072 1 128 0.042621 17009576 292233 0.015924 1587774 30346
512 131072 1 128 0.392417 135720291 4375775 0.082791 16709688 185568
1024 131072 1 128 3.731766 1087712900 1310152 0.688996 72732553 1310153
256 131072 2 64 0.023562 16930627 25846 0.019320 2116041 25333
512 131072 2 64 0.401247 134847545 107350 0.100542 16848132 99157
1024 131072 2 64 4.229818 1076237137 394294 0.669508 134518492 394295
256 131072 2 128 0.042737 16927372 13721 0.009904 1058998 12698
512 131072 2 128 0.401047 134821115 65993 0.099800 8426691 49610
1024 131072 2 128 3.733302 1076069088 197224 0.658184 67280423 197225
256 131072 4 64 0.042727 16929031 25318 0.015545 2115848 25317
512 131072 4 64 0.396220 134838262 99142 0.084334 16845827 99141
1024 131072 4 64 3.741278 1076234623 394248 0.668858 134484489 394249
256 131072 4 128 0.051149 16925784 12690 0.015970 1058773 12691
512 131072 4 128 0.392969 134804135 49602 0.098221 8424402 49603
1024 131072 4 128 3.822233 1076065037 197155 0.669214 67245013 197156
256 131072 8 64 0.042402 16928479 25312 0.015896 2115822 25312
512 131072 8 64 0.402517 134837662 99136 0.084059 16845801 99136
1024 131072 8 64 3.738189 1076234855 394242 0.656371 134484465 394243
256 131072 8 128 0.048942 16925483 12687 0.009392 1058760 12687
512 131072 8 128 0.400097 134803802 49599 0.098396 8424389 49599
1024 131072 8 128 3.902049 1076065280 197152 0.668220 67245000 197153
